Treatment,Length
HFD,6.5
HFD,6
HFD,5.5
HFD,5.7
HFD,6
HFD,6
HFD,6
HFD,5.3
HFD,5.3
HFD,5.2
HFD,5.3
HFD,6.1
NO/NO,6.5
NO/NO,6.2
NO/NO,6.4
NO/NO,7
NO/NO,7
NO/NO,7
NO/NO,7.1
NO/NO,7.5
NO/NO,8
NO/NO,6.5
NO/NO,7.3
NO/NO,7.3
NO/NO,7.6
LO/NO,8
LO/NO,6.6
LO/NO,6.2
LO/NO,6.8
LO/NO,7
LO/NO,6.8
LO/NO,8.2
LO/NO,6.8
LO/NO,7.2
LO/NO,7
LO/NO,6.5
LO/NO,7.5
HI/NO,7
HI/NO,7.2
HI/NO,6.5
HI/NO,5.5
HI/NO,6.2
HI/NO,7.5
HI/NO,7
HI/NO,7
HI/NO,8
HI/NO,7
HI/NO,7
HI/NO,8.2
NO/LO,7
NO/LO,7
NO/LO,5.3
NO/LO,6.1
NO/LO,7
NO/LO,7.5
NO/LO,7.2
NO/LO,7.2
NO/LO,6.7
NO/LO,6.4
NO/LO,8
NO/LO,6.3
NO/HI,6.5
NO/HI,6.3
NO/HI,8.3
NO/HI,7
NO/HI,8
NO/HI,7.3
NO/HI,6.6
NO/HI,8
NO/HI,7.8
NO/HI,6.4
NO/HI,7.6
NO/HI,7
LO/LO,6.2
LO/LO,7.3
LO/LO,7.2
LO/LO,7.8
LO/LO,6
LO/LO,6.1
LO/LO,6.9
LO/LO,6.4
LO/LO,7
LO/LO,6.7
LO/LO,6.4
LO/LO,7.4
HI/HI,7.2
HI/HI,7.8
HI/HI,7.4
HI/HI,5.5
HI/HI,8
HI/HI,7.6
HI/HI,7.4
HI/HI,6.7
HI/HI,7.1
HI/HI,7.6
HI/HI,6.2
HI/HI,6.2
HI/HI,6.5
