Treatment,IL6,IL10,TNF
NO/NO,17.18528193,21.07987379,11.96364434
NO/NO,17.46919539,22.72485553,12.53383367
NO/NO,17.01493385,21.57620449,11.06206292
NO/NO,16.04962807,22.79575992,12.64592217
NO/NO,16.21997615,23.5473464,12.90421307
NO/NO,16.21997615,21.90236466,12.5435805
NO/NO,17.63954347,24.82362534,14.20054095
NO/NO,15.36823576,20.18647853,12.5094666
NO/NO,16.78780308,21.85982203,12.95782061
NO/NO,16.67423769,23.50480377,13.19174444
LO/NO,17.24206462,24.55418868,18.38192938
LO/NO,16.90136846,26.82312901,18.29420795
LO/NO,19.22945886,28.45392988,19.01059967
LO/NO,19.79728579,27.41872585,20.28256049
LO/NO,17.01493385,26.00063814,18.49401789
LO/NO,17.52597808,26.44024533,17.0466142
LO/NO,15.70893192,26.87985252,17.96768927
LO/NO,20.08119925,27.23437445,20.87711689
LO/NO,17.4124127,24.02949622,17.30490509
LO/NO,24.73738005,28.26957847,20.77964863
HI/NO,11.16631651,35.84216684,17.23180389
HI/NO,10.76883766,35.20402737,16.86629791
HI/NO,11.73414343,34.49498351,15.34579303
HI/NO,10.25779342,36.59375332,15.18009698
HI/NO,10.71205497,35.87052859,14.97054022
HI/NO,11.16631651,34.5658879,16.78344989
HI/NO,13.09692806,36.35267841,18.32344843
HI/NO,9.689966498,30.978126,15.54072955
HI/NO,12.18840497,38.09692629,15.77465338
HI/NO,9.576401113,31.61626547,15.7844002
NO/LO,14.97075691,28.78009005,17.63142377
NO/LO,14.57327806,32.19768143,14.62452789
NO/LO,11.05275112,28.34048286,12.22193523
NO/LO,9.803531883,27.00748041,11.59326494
NO/LO,13.09692806,27.06420392,15.99395697
NO/LO,12.69944921,31.17665828,14.56604693
NO/LO,12.41553574,31.20502003,13.04066863
NO/LO,13.5511896,31.19083915,12.77263091
NO/LO,10.20101073,28.49647251,12.94320037
NO/LO,14.40292999,28.95026057,15.5212359
NO/HI,12.86979729,28.83681356,15.26781842
NO/HI,10.82562035,27.0783848,12.89933965
NO/HI,10.4281415,27.87251391,12.50459319
NO/HI,11.9612742,27.37618322,12.5094666
NO/HI,14.97075691,31.8431595,14.50269256
NO/HI,10.65527227,27.88669479,13.12839007
NO/HI,10.93918574,29.43241039,11.83206218
NO/HI,11.39344728,29.13461198,11.91491021
NO/HI,11.73414343,30.02800723,14.55142669
NO/HI,12.07483959,31.98496827,13.8837691
LO/LO,24.62381466,25.81628674,13.91788299
LO/LO,22.12537619,25.23487078,13.40617461
LO/LO,19.62693771,25.57521183,16.65674115
LO/LO,17.12849923,25.13560464,16.09629864
LO/LO,14.63006076,26.04318077,12.74826385
LO/LO,26.49764352,27.05002304,15.07288189
LO/LO,26.72477429,26.97911866,18.10414484
LO/LO,26.95190506,24.69599745,14.11769293
LO/LO,27.17903583,24.46910341,14.06408538
LO/LO,27.4061666,28.05686532,12.00750506
HI/HI,13.77832037,31.38937143,11.98313799
HI/HI,10.99596843,28.07104619,10.74529106
HI/HI,11.45022997,27.64561988,9.673140184
HI/HI,11.79092613,27.58889637,11.78820147
HI/HI,11.90449151,26.5820541,11.4665562
HI/HI,11.16631651,27.5747155,11.75408758
HI/HI,12.41553574,27.91505655,11.96364434
HI/HI,14.2893646,28.49647251,11.58839153
HI/HI,18.43450116,30.19817776,17.45110748
HI/HI,10.31457612,21.78891764,10.87199981
HFD,18.9455454,24.11458149,17.70452496
HFD,19.91085117,24.38401815,14.96079339
HFD,20.87615695,23.23536711,14.40035089
HFD,18.77519732,24.39819903,16.0426911
HFD,14.91397422,24.99379587,14.98516046
HFD,18.49128386,27.12092743,14.4783255
HFD,22.18215888,23.88768745,25.79926411
HFD,22.86355119,27.92923742,21.59350861
HFD,18.54806655,24.9087106,18.66946076
HFD,22.06859349,27.10674655,17.49984161
