Treatment,IL6,IL10,TNF
HFD,61.32048,24.95563372,25.17372
HFD,57.16128,25.97674978,20.47608
HFD,53.13308,25.82085184,19.68408
HFD,52.00924,26.30207076,26.36936
HFD,60.92048,27.05467509,25.69572
NO/NO,25.16807647,14.51688602,11.76099825
NO/NO,26.72581708,15.89835396,12.62019586
NO/NO,24.502688,16.03674564,11.03825955
NO/NO,25.6140838,16.09724956,12.256221
NO/NO,26.36645096,16.61405432,12.23217985
LO/NO,19.30936,16.32129572,9.034545554
LO/NO,18.47006104,14.8673645,9.1338866
LO/NO,19.84203492,15.64842326,8.868479752
LO/NO,22.04991607,13.58148264,9.991196998
LO/NO,19.36640992,16.08817724,9.471408136
HI/NO,12.72452112,19.53352295,8.437032678
HI/NO,12.83745406,19.96370913,7.509359697
HI/NO,12.92348491,20.28997835,8.080476135
HI/NO,14.16701517,20.10933135,9.425944138
HI/NO,13.85533644,21.06371272,9.101433293
NO/LO,9.430825636,21.33773372,8.747962716
NO/LO,10.48446851,17.0799167,8.128718498
NO/LO,9.799516548,17.43352067,8.38609786
NO/LO,10.42773473,17.097508,7.935735904
NO/LO,9.202744193,17.87290935,7.914284043
NO/HI,36.98596493,22.53173872,7.748038914
NO/HI,37.261697,23.61241961,7.635410144
NO/HI,37.59284301,21.56120503,7.772173158
NO/HI,42.59304449,26.90109747,8.17433101
NO/HI,39.98639525,24.39240486,7.723884395
LO/LO,26.03305653,14.60358687,6.959478753
LO/LO,25.94968372,13.98056764,7.335028562
LO/LO,26.08713711,15.34611276,7.166048937
LO/LO,24.22365314,13.33039309,6.718023448
LO/LO,24.9195595,14.97506375,7.230426978
HI/HI,10.65362872,15.07626552,7.841888009
HI/HI,11.73362221,16.92433658,7.833846441
HI/HI,12.21537304,14.23125205,7.619315976
HI/HI,12.32948463,15.17369337,8.021506535
HI/HI,11.10876237,15.08654554,7.747967524
